favorite_color,excitement,seat_comfort,ucsd_year,ucsd_major,credits,hr_physical,hr_online,hr_reading,sex
pink,Slightly excited,Meh,3,Data Science,14,0,2,4,F
Match Green,Slightly excited,Meh,4,Data Science,22,1,0,3,F
green,Very excited,Bad,4,Engineering,16,1,2,5,M
pink,Slightly excited,Bad,3,Engineering,16,0,1,5,F
gray,Slightly excited,Meh,3,Engineering,14,0,1,5,F
orange,Super stoked,Bad,2,Engineering,14,0 but I'm gonna find a new book soon,1-2,4-5,M
Red,Slightly excited,Bad,2,Engineering,16,0,1,5,M
Dark purple,Very excited,Meh,2,Engineering,20,-1 (I hate reading),2,7,M
white,Slightly excited,Awful,4,Engineering,16,20,... prob 4 a week,20 mins,M
Blue,Very excited,Meh,2,Engineering,16,1,2,3,M
Purple,Slightly excited,Meh,2,Engineering,16,0,1,3,M
Green,Very excited,Awful,3,Physical Sciences,16 credits,0,1-3 hours three times a week,1-2 hours,F
Blue,Slightly excited,Meh,3,NA,17,1,1,5,F
black,Very excited,Pretty good,2,Data Science,16,1,1,2,F
Black,Slightly excited,Meh,2,Data Science,16,0,5,4,M
Purple,Super stoked,Pretty good,2,Data Science,20,0,0 but I do walk a lot,3,F
Blue,Very excited,Super comfy,3,Engineering,20,10 min,30 min,3 hours,M
Purple,Super stoked,Meh,2,Data Science,15,0,2,3,M
Blue,Super stoked,Meh,4,Engineering,12,0,~4,~9,F
Blue,Slightly excited,Meh,3,Physical Sciences,16,1,1,4,F
Purple,Not at all excited,Awful,2,Physical Sciences,16,1,1,4,M
Blue,Slightly excited,Bad,3,Engineering,16,1-2hrs,10hrs,5hrs,F
"r:255, g:132 b:12",Super stoked,Meh,2,Engineering,12,1,2,2,M
Black,Slightly excited,Pretty good,2,Data Science,16,0,2,1,M
Blue with a hint of magenta,Slightly excited,Meh,3,Data Science,16,1,0.5,3,F
Sky Blue,Super stoked,Meh,4,Data Science,16,0.5,0.5,2,F
Purple,Slightly excited,Meh,3,Engineering,19,0.5,0,4,F
yellow,Slightly excited,Bad,1,Physical Sciences,16,30 min,45 min,3 hr,F
Red,Slightly excited,Meh,2,Data Science,16,0,2,5,F
green,Not at all excited,Meh,3,Engineering,16,0.5,2,8,M
Blue,Very excited,Awful,1,Engineering,12,0,0,6,M
Green,Slightly excited,Meh,4,Data Science,12,2,1.5,4,M
black,Slightly excited,Meh,2,Engineering,12,0,1,3,M
purple,Slightly excited,Meh,3,Data Science,12,<1,3+,4+,M
Red,Very excited,Meh,3,Data Science,16,0,3,2,M
Sky Blue,Slightly excited,Meh,1,Engineering,14,3,2,4,M
White,Slightly excited,Pretty good,3,Health Sciences,16,1,1,2,F
Blue,Super stoked,Pretty good,1,Data Science,16,2,1,3,M
Green,Very excited,Meh,3,Physical Sciences,12,1/2,1/2 - 1,3-4,M
Blue,Very excited,Pretty good,3,Engineering,20,0-1,1,2,M
Green,Super stoked,Meh,3,Engineering,12,1,2,3,M
Blue,Slightly excited,Meh,3,Engineering,14,0-1,1,3,M
Blue,Slightly excited,Meh,3,Data Science,12,1,3,3,M
Black,Very excited,Meh,3,Health Sciences,16,3,1,4,M
Blue,Slightly excited,Meh,2,Data Science,17,1,1,3,F
Blue,Slightly excited,Meh,3,Engineering,12,0,1,3,M
red,Slightly excited,Meh,2,Data Science,15,2,3,2,M
Green,Very excited,Meh,>4,Engineering,16,3,1,0,M
Blue,Slightly excited,Pretty good,1,Data Science,16,2,1,2,M
Blue,Slightly excited,Awful,2,Engineering,16,0-1,2-4,3-6,M
pink,Slightly excited,Meh,3,Data Science,12,2,2,2,F
Blue,Very excited,Meh,4,Engineering,20,5,1,1,M
Blue,Slightly excited,Meh,2,Engineering,22,0,0,10,M
Green,Very excited,Meh,2,Physical Sciences,16,1,0.5,1,M
Red,Very excited,Meh,2,Engineering,18,0,30,2,M
green,Slightly excited,Bad,2,Data Science,20,1,2.5,4,M
Green,Very excited,Pretty good,3,Data Science,16,30min-1hr,2-3,1-2hrs,M
Purple,Very excited,Meh,2,Data Science,16,2,3,1,M
Purple,Very excited,Bad,2,Data Science,18,0.5,0.5,3,F
black,Slightly excited,Bad,1,Data Science,16,0,1,1,M
Blue,Slightly excited,Pretty good,2,Data Science,14,0,1.3,1.5,M
green,Very excited,Awful,4,Social Sciences,16,1,1,3,M
Blue,Very excited,Bad,4,Engineering,12,0,1,8.5,M
Green,Slightly excited,Meh,1,Engineering,14,0.5,1,3,F
Blue,Not at all excited,Meh,2,Engineering,18,0,1,2,F
red,Slightly excited,Meh,4,Physical Sciences,16,0,2,6,M
green,Slightly excited,Meh,2,Engineering,16,0,1.5,2,M
Blue,Very excited,Meh,3,Physical Sciences,22,0,1.5,5,F
green,Not at all excited,Pretty good,>4,Engineering,24,0,2,5,F
Green,Very excited,Pretty good,2,Data Science,18,0,2,2,F
